Unnamed: 0,Total Confirmed,ARIMA,LSTM,GRU,prophet,Hybrid ARIMA+ANN,Proposed Model
7/24/22,43905621,43908604.0485535,45474548.0,44588576.0,44003712.0,41999816.6735535,41999848.18226496
7/25/22,43920451,43928838.94037757,45495212.0,44604668.0,44035211.0,42020051.56537757,42020083.07408902
7/26/22,43938764,43948839.655931205,45513390.0,44618820.0,44072042.0,42040052.280931205,42040083.78964266
7/27/22,43959321,43969071.263499856,45535850.0,44636292.0,44121218.0,42060283.888499856,42060315.39721131
7/28/22,43979730,43989179.16279208,45561050.0,44655900.0,44163922.0,42080391.78779208,42080423.29650353
7/29/22,44000138,44009428.269101046,45586070.0,44675370.0,44205031.0,42100640.894101046,42100672.402812496
7/30/22,44019811,44029615.58298836,45611108.0,44694830.0,44244760.0,42120828.20798836,42120859.71669981
7/31/22,44036275,44049891.82044332,45635240.0,44713596.0,44282665.0,42141104.44544332,42141135.954154775
8/1/22,44050009,44070140.59542869,45655444.0,44729292.0,44312566.0,42161353.22042869,42161384.72914015
8/2/22,44067144,44090447.48783765,45672292.0,44742388.0,44347670.0,42181660.11283765,42181691.6215491
8/3/22,44087037,44110745.61620139,45693324.0,44758732.0,44395285.0,42201958.24120139,42201989.74991284
8/4/22,44107588,44131083.42760503,45717736.0,44777692.0,44436880.0,42222296.052605025,42222327.56131648
8/5/22,44126994,44151422.35311151,45742964.0,44797276.0,44477596.0,42242634.97811151,42242666.48682296
8/6/22,44145709,44171789.68795111,45766790.0,44815780.0,44517886.0,42263002.31295111,42263033.82166256
8/7/22,44145709,44192163.07135808,45789780.0,44833612.0,44557510.0,42283375.69635808,42283407.20506953
8/8/22,44174650,44212557.76480349,45789780.0,44833612.0,44590446.0,42303770.38980349,42303801.89851494
8/9/22,44190697,44232960.70016757,45825324.0,44861196.0,44630018.0,42324173.325167574,42324204.833879024
8/10/22,44206996,44253380.30587135,45845040.0,44876490.0,44683599.0,42344592.93087135,42344624.43958281
8/11/22,44223557,44273808.85381992,45865064.0,44892020.0,44732671.0,42365021.478819914,42365052.98753136
8/12/22,44239372,44294250.90420785,45885412.0,44907796.0,44782341.0,42385463.52920785,42385495.0379193
8/13/22,44253464,44314701.80839322,45904850.0,44922860.0,44832977.0,42405914.43339322,42405945.94210467
8/14/22,44268381,44335163.94718953,45922170.0,44936290.0,44884207.0,42426376.57218953,42426408.08090098
8/15/22,44277711,44355634.45729186,45940516.0,44950504.0,44929839.0,42446847.082291864,42446878.59100331
8/16/22,44286256,44376114.50095543,45951988.0,44959388.0,44982991.0,42467327.12595543,42467358.63466689
8/17/22,44298864,44396602.25825674,45962490.0,44967524.0,45050803.0,42487814.88325674,42487846.39196819
8/18/22,44314618,44417098.21847151,45978000.0,44979536.0,45114505.0,42508310.843471505,42508342.35218296
8/19/22,44327890,44437601.17869343,45997364.0,44994536.0,45178938.0,42528813.80369343,42528845.312404886
8/20/22,44339429,44458111.26407476,46013692.0,45007176.0,45244206.0,42549323.88907476,42549355.397786215
8/21/22,44348960,44478627.64285418,46027880.0,45018160.0,45309676.0,42569840.267854184,42569871.77656564
8/22/22,44357546,44499150.25007265,46039610.0,45027236.0,45368912.0,42590362.87507265,42590394.3837841
8/23/22,44368195,44519678.48256824,46050180.0,45035420.0,45434808.0,42610891.10756824,42610922.61627969
8/24/22,44378920,44540212.182566896,46063270.0,45045556.0,45514313.0,42631424.807566896,42631456.31627835
8/25/22,44389176,44560750.89220068,46076470.0,45055770.0,45588498.0,42651963.51720068,42651995.025912136
8/26/22,44398696,44581294.41461554,46089092.0,45065524.0,45662088.0,42672507.03961554,42672538.548327
8/27/22,44408132,44601842.38797441,46100812.0,45074588.0,45735112.0,42693055.01297441,42693086.52168587
8/28/22,44415723,44622394.605417855,46112424.0,45083572.0,45806909.0,42713607.230417855,42713638.739129305
8/29/22,44415723,44642950.77150764,46121764.0,45090800.0,45871059.0,42734163.39650764,42734194.90521909
8/30/22,44415723,44663510.68455963,46121764.0,45090800.0,45940517.0,42754723.30955963,42754754.818271086
8/31/22,44436339,44684074.09728361,46121764.0,45090800.0,46022332.0,42775286.72228361,42775318.23099506
9/1/22,44442507,44704640.82058268,46147144.0,45110420.0,46097716.0,42795853.44558268,42795884.95429413
9/2/22,44449726,44725210.6437151,46154736.0,45116290.0,46171563.0,42816423.2687151,42816454.77742656
9/3/22,44456535,44745783.39329266,46163628.0,45123164.0,46244097.0,42836996.01829266,42837027.52700411
9/4/22,44462445,44766358.8874557,46172012.0,45129652.0,46314871.0,42857571.5124557,42857603.02116716
9/5/22,44466862,44786936.96932461,46179284.0,45135270.0,46377687.0,42878149.59432461,42878181.10303606
9/6/22,44469661,44807517.48062122,46184724.0,45139470.0,46445725.0,42898730.10562122,42898761.61433268
9/7/22,44478636,44828100.28056219,46188176.0,45142140.0,46526251.0,42919312.90556219,42919344.41427365
9/8/22,44484729,44848685.23060741,46199224.0,45150680.0,46600679.0,42939897.85560741,42939929.36431886
9/9/22,44490283,44869272.20506561,46206730.0,45156470.0,46674084.0,42960484.83006561,42960516.338777065
9/10/22,44495359,44889861.08221728,46213570.0,45161760.0,46746841.0,42981073.70721728,42981105.21592873
9/11/22,44500580,44910451.7502097,46219824.0,45166590.0,46818618.0,43001664.3752097,43001695.88392115
